"GISJOIN","POP20","BASENAME","State","smart","INTPTLAT","INTPTLON","green_commute","bachelor","poverty","income","no_insurance","internet","unemp","gini"
"G08066895",206,"Rye","CO",0,37.9212833,-104.9319349,14.6666666666667,24.8,18.1818181818182,26223,23.2673267326733,51.1363636363636,0,0.3223
"G08067005",539,"Saguache","CO",0,38.0862704,-106.1410529,9.03614457831325,17.1912832929782,3.73134328358209,24423,2,60.4477611940298,14.2241379310345,0.3096
"G08067280",5666,"Salida","CO",0,38.5298784,-105.9979157,26.0310421286031,46.2128252788104,22.8880866425993,38081,11.333694279011,85.4873646209386,3.54948805460751,0.4673
"G08067830",879,"Sanford","CO",0,37.2574068,-105.9007664,20.9718670076726,33.5235378031384,13.882863340564,20936,15.2373660030628,86.3340563991323,6.87285223367698,0.3385
"G08068105",598,"San Luis","CO",0,37.2023749,-105.4225062,34.7222222222222,9.28074245939675,29.3478260869565,20321,10.4452054794521,70.6521739130435,3.37078651685393,0.4444
"G08068655",38,"Sawpit","CO",0,37.9947175,-108.0021356,50,0,0,35218,0,50,0,0.0745
"G08068930",172,"Sedgwick","CO",0,40.9355117,-102.5256366,5.1948051948052,11.4754098360656,15.2777777777778,26676,1.25,84.7222222222222,3.48837209302326,0.3852
"G08069040",172,"Seibert","CO",0,39.297967,-102.8695241,8.33333333333333,17.1171171171171,14.0845070422535,23323,10.7142857142857,85.9154929577465,0,0.3104
"G08069150",7683,"Severance","CO",0,40.5051409,-104.8420969,16.2217659137577,43.6349693251534,3.76970527758739,46292,3.20836761076507,95.5106237148732,2.09283050145048,0.3469
"G08069645",6105,"Sheridan","CO",0,39.6477575,-105.0174566,20.1058201058201,19.0191685337316,15.8886158886159,29789,11.4813592873639,88.5339885339885,10.0527356624918,0.4678
"G08069700",55,"Sheridan Lake","CO",0,38.4667098,-102.2943993,14.2857142857143,22.5806451612903,13.3333333333333,21189,17.8571428571429,86.6666666666667,0,0.3799
"G08070195",3536,"Silt","CO",0,39.5479782,-107.6527362,25.8173618940248,18.6472522310944,8.3982683982684,31181,18.8722017568716,90.7359307359307,1.67342799188641,0.3597
"G08070250",609,"Silver Cliff","CO",0,38.1292026,-105.3991749,13.5265700483092,14.1509433962264,18.9591078066914,16907,10.0680272108844,80.6691449814126,3.46320346320346,0.4036
"G08070360",207,"Silver Plume","CO",0,39.6953724,-105.7270214,3.94736842105263,65.7754010695187,0,47377,4.92610837438424,100,0,0.4115
"G08070525",4402,"Silverthorne","CO",0,39.6543234,-106.094039,11.5107913669065,46.1963674651224,2.72373540856031,71459,11.8021978021978,92.1206225680934,6.2987012987013,0.4617
"G08070580",622,"Silverton","CO",0,37.8108739,-107.6647429,22.8956228956229,37.8818737270876,18.2119205298013,36876,18.1076672104405,77.8145695364238,7.85340314136126,0.4089
"G08070635",601,"Simla","CO",0,39.1407399,-104.0823701,9.54356846473029,20,18.2926829268293,40870,10.7773851590106,86.5853658536585,0,0.6231
"G08071755",3096,"Snowmass Village","CO",0,39.2168781,-106.9439696,52.211016291699,67.6663927691044,0,100123,0.617685305591678,92.3592493297587,0,0.5298
"G08072395",510,"South Fork","CO",0,37.6691859,-106.6428506,4.34782608695652,38.9033942558747,7.981220657277,45949,8.51528384279476,94.8356807511737,8.33333333333333,0.4288
"G08073330",1325,"Springfield","CO",0,37.4049137,-102.6188979,12.4282982791587,23.309053069719,23.4349919743178,26127,8.94245723172628,82.5040128410915,2.2887323943662,0.5031
"G08073715",62,"Starkville","CO",0,37.1168261,-104.5232956,0,54.6583850931677,4.34782608695652,28849,6.04395604395604,83.695652173913,0,0.2202
"G08073825",13224,"Steamboat Springs","CO",0,40.4761838,-106.8233783,22.2991466752536,54.2057006178991,9.96863018473336,62223,8.33967432658652,91.756709654932,3.57979692788336,0.4814
"G08073935",13735,"Sterling","CO",0,40.6204828,-103.192509,19.4739592405504,15.5665737010639,11.5056536401508,24917,5.87201406087721,85.042650267804,3.30210413146982,0.4149
"G08074485",656,"Stratton","CO",0,39.3028841,-102.6034704,16.8965517241379,18.0293501048218,7.56972111553785,29404,6.75287356321839,85.2589641434263,1.27388535031847,0.4772
"G08074815",259,"Sugar City","CO",0,38.2327735,-103.663312,9.87654320987654,26.8781302170284,20.5298013245033,67039,10.7801418439716,77.4834437086093,6.84931506849315,0.5203
"G08075640",13094,"Superior","CO",0,39.9311898,-105.1590853,20.0038505968425,76.3001145475372,1.9538188277087,65498,5.04035328155931,97.7353463587922,3.3288409703504,0.3906
"G08075970",604,"Swink","CO",0,38.0140683,-103.6281624,0,15.8482142857143,4.58715596330275,34929,2.322206095791,80.7339449541284,0,0.4386
"G08076795",2607,"Telluride","CO",0,37.939664,-107.8181523,66.9603524229075,80.3157375431672,3.12,55531,6.02593440122044,97.12,2.82167042889391,0.4268
"G08077290",141867,"Thornton","CO",1,39.9194198,-104.9428083,15.5124570187609,30.7000343425615,6.38592002641027,38876,9.00372294494854,95.2523418478934,4.55155946873601,0.3717
"G08077510",6487,"Timnath","CO",0,40.5330903,-104.9611929,5.72723526988051,75.2654867256637,6.18470539072294,79715,2.04998595900028,98.7463435018805,0.877449546651068,0.4527
"G08078610",8329,"Trinidad","CO",0,37.1731573,-104.4903263,18.9108318372232,14.2056690837179,21.4758269720102,29213,7.84241980729357,86.1577608142494,8.22691552062868,0.4682
"G08079270",34,"Two Buttes","CO",0,37.5606642,-102.3965556,0,0,0,23258,21.0526315789474,92.3076923076923,0,0.1585
"G08080040",4835,"Vail","CO",0,39.6377808,-106.3624688,28.4342688330872,65.5036855036855,4.51476793248945,80145,9.00395092534831,95.2742616033755,7.58968277497776,0.5392
"G08080865",379,"Victor","CO",0,38.7087383,-105.1418865,5.22875816993464,21.9123505976096,12.1212121212121,34245,10,76.969696969697,5.74712643678161,0.3339
"G08081030",98,"Vilas","CO",0,37.3736643,-102.4474163,29.1666666666667,12.3287671232877,30.188679245283,24034,5.4054054054054,66.0377358490566,0,0.4821
"G08081690",95,"Vona","CO",0,39.3021195,-102.7433516,8,30.3370786516854,10.7142857142857,27280,6.08108108108108,85.7142857142857,0,0.3943
"G08082130",606,"Walden","CO",0,40.731584,-106.2813362,21.8354430379747,24.748490945674,23.4567901234568,29651,6.87679083094556,78.7037037037037,0,0.5053
"G08082350",3049,"Walsenburg","CO",0,37.6305976,-104.7817194,6.2,18.5651963160446,25.9729272419628,23120,6.44628099173554,73.1810490693739,8.89443059019119,0.4925
"G08082460",543,"Walsh","CO",0,37.3861073,-102.2799334,0,19.0930787589499,28.5714285714286,20976,3.76647834274953,79.1208791208791,1.22699386503067,0.4561
"G08082735",128,"Ward","CO",0,40.0730396,-105.5147753,10.5263157894737,28.2051282051282,28.125,34168,8.51063829787234,81.25,16.1290322580645,0.5585
"G08083230",11047,"Wellington","CO",0,40.6993628,-105.0058733,10.4030623733393,43.2758620689655,11.75,39532,4.02221625011198,96.35,7.7070954211814,0.3957
"G08083450",435,"Westcliffe","CO",0,38.1342035,-105.4653063,35.2601156069364,37.8378378378378,13.4453781512605,49433,5.52995391705069,75.2100840336134,6.75105485232067,0.5773
"G08083835",116317,"Westminster","CO",1,39.8801223,-105.0615135,12.9662203395915,42.198775753593,6.96789283436105,47856,7.13273582363322,92.6323623219222,4.11023554481358,0.4107
"G08084440",32398,"Wheat Ridge","CO",0,39.7726754,-105.1048006,18.7818321356311,41.8850262031444,12.1575575848439,50340,5.89327876593735,90.0163554586343,5.30870096087487,0.4713
"G08084770",1401,"Wiggins","CO",0,40.228425,-104.0721342,18.2978723404255,20.8823529411765,5.60224089635854,27548,14.5869947275923,94.6778711484594,7.29537366548043,0.3216
"G08085045",437,"Wiley","CO",0,38.155324,-102.7191832,9.09090909090909,37.5,8,36154,8.98058252427185,85.6,2.27272727272727,0.5068
"G08085155",731,"Williamsburg","CO",0,38.3839838,-105.170993,12.2857142857143,11.2115732368897,17.3144876325088,26211,16.8944099378882,85.1590106007067,4.27807486631016,0.3888
"G08085485",32716,"Windsor","CO",0,40.4782726,-104.9150527,8.43484419263456,50.8461120628421,4.19463087248322,53722,5.97867930115487,96.0799267846248,4.88527829619058,0.3787
"G08085705",1033,"Winter Park","CO",0,39.8784724,-105.7828431,22.9281767955801,66.358024691358,5.55555555555556,66619,12.5984251968504,100,6.53061224489796,0.5298
"G08086090",7920,"Woodland Park","CO",1,38.9982124,-105.0590191,12.1639784946237,42.88919571971,7.56508422664625,43146,8.2435003170577,93.0168453292496,3.7750190017735,0.393
"G08086310",2358,"Wray","CO",0,40.0799527,-102.2286219,12.4293785310734,25.1272264631043,16.1934805467928,31376,13.4120624209194,82.018927444795,5.6910569105691,0.4069
"G08086475",399,"Yampa","CO",0,40.1530069,-106.9086322,25.3521126760563,34.6278317152104,9.71428571428571,35788,9.95260663507109,90.2857142857143,1.54639175257732,0.47
"G08086750",3456,"Yuma","CO",0,40.1225105,-102.7156364,26.6666666666667,16.9304556354916,19.0513219284603,22434,27.5688480900207,90.357698289269,9.27892677473449,0.4272
"G09001150",18918,"Ansonia","CT",0,41.3442494,-73.0698254,17.5800962328365,21.1348625807826,12.0297904569553,40604,7.75561886672998,84.2337793486493,9.94600738846263,0.484
"G09002690",720,"Bantam","CT",0,41.7247452,-73.2422628,7.59493670886076,19.4230769230769,15.8640226628895,43134,15.2080344332855,85.5524079320113,3.62116991643454,0.5005
